concept_cv,EPA_avg,count,Traditional_Count,Traditional_EPA,RPO_Count,RPO_EPA
cab,0.087347496,355,353,0.08536,2,0.438214
curlFlat,0.02683033,772,716,0.000567,56,0.36263
curls,0.028884335,1394,1364,0.025064,30,0.202584
dagger,-0.073017793,463,459,-0.075193,4,0.176631
depot,-0.061966919,223,223,-0.061967,0,None
diagonalNine,0.035018198,429,423,0.028995,6,0.459646
diagonalSix,0.003118689,376,373,0.003221,3,-0.009553
digs,-0.078005649,653,647,-0.08268,6,0.426061
dino,0.16556705,383,382,0.161882,1,1.573095
dog,0.007189909,497,478,-0.011132,19,0.468133
drive,0.12290357,405,405,0.122904,0,None
flatSeven,0.056366722,795,780,0.060307,15,-0.148522
flood,-0.339018978,46,46,-0.339019,0,None
hoss,0.054102036,1069,1064,0.057796,5,-0.731932
levels,0.041900646,127,127,0.041901,0,None
mesh,-0.002582573,700,694,0.000007,6,-0.302167
mills,-0.002669676,373,372,-0.003137,1,0.171013
ohio,0.015113861,1317,1309,0.01417,8,0.169559
outs,0.04224636,417,406,0.034549,11,0.326346
pivot,-0.246700858,282,281,-0.245933,1,-0.4625
portland,-0.010769325,1457,1451,-0.011974,6,0.280568
pout,-0.110984966,351,347,-0.119327,4,0.612647
salem,-0.081165724,395,393,-0.081709,2,0.025627
scissors,0.134464934,106,106,0.134465,0,None
shallowCross,-0.025444066,798,795,-0.027498,3,0.518827
slay,0.043964491,521,469,0.03752,52,0.102089
slotCross,-0.004401588,342,313,-0.019791,29,0.161696
smash,0.11225693,744,713,0.106216,31,0.251194
snag,0.078169722,198,196,0.073181,2,0.56711
spacing,0.054901344,125,125,0.054901,0,None
stick,0.0323696,465,457,0.022039,8,0.622513
switch,0.041148989,263,256,0.035796,7,0.2369
tosser,0.094701649,796,700,0.109581,96,-0.01379
verticals,0.043304011,940,934,0.042365,6,0.18953
worf,-0.068336127,566,527,-0.090367,39,0.229362
y-cross,0.04493675,2047,2045,0.043069,2,1.954521
